lcd_id,lcd_version,contractor_id,contractor_type_id,contractor_version,last_updated
33467,46,378,13,1,2021-03-09 17:37:44.097000000
33467,46,379,13,1,2021-03-09 17:37:44.097000000
33467,46,380,13,1,2021-03-09 17:37:44.097000000
33467,46,381,13,1,2021-03-09 17:37:44.097000000
33467,46,391,12,1,2021-03-09 17:37:44.097000000
33467,46,392,12,1,2021-03-09 17:37:44.097000000
33467,46,393,12,1,2021-03-09 17:37:44.097000000
33467,46,394,12,1,2021-03-09 17:37:44.097000000
33467,46,395,12,1,2021-03-09 17:37:44.097000000
33467,46,396,12,1,2021-03-09 17:37:44.097000000
33557,45,269,8,1,2019-09-17 16:49:14.123000000
33557,45,270,8,1,2019-09-17 16:49:14.123000000
33557,45,271,8,1,2019-09-17 16:49:14.123000000
33557,45,273,9,1,2019-09-17 16:49:14.123000000
33557,45,274,9,1,2019-09-17 16:49:14.123000000
33557,45,275,9,1,2019-09-17 16:49:14.123000000
33557,45,297,13,1,2019-09-17 16:49:14.123000000
33557,45,298,13,1,2019-09-17 16:49:14.123000000
33557,45,299,13,1,2019-09-17 16:49:14.123000000
33557,45,300,13,1,2019-09-17 16:49:14.123000000
33557,45,301,13,1,2019-09-17 16:49:14.123000000
33557,45,302,13,1,2019-09-17 16:49:14.123000000
33557,45,303,13,1,2019-09-17 16:49:14.123000000
33557,45,304,13,1,2019-09-17 16:49:14.123000000
33557,45,305,13,1,2019-09-17 16:49:14.123000000
33557,45,306,13,1,2019-09-17 16:49:14.123000000
33557,45,307,13,1,2019-09-17 16:49:14.123000000
33557,45,309,13,1,2019-09-17 16:49:14.123000000
33557,45,310,13,1,2019-09-17 16:49:14.123000000
33557,45,311,13,1,2019-09-17 16:49:14.123000000
33557,45,312,13,1,2019-09-17 16:49:14.123000000
33557,45,313,13,1,2019-09-17 16:49:14.123000000
33558,32,269,8,1,2019-09-11 17:28:50.360000000
33558,32,270,8,1,2019-09-11 17:28:50.360000000
33558,32,271,8,1,2019-09-11 17:28:50.360000000
33558,32,273,9,1,2019-09-11 17:28:50.360000000
33558,32,274,9,1,2019-09-11 17:28:50.360000000
33558,32,275,9,1,2019-09-11 17:28:50.360000000
33558,32,297,13,1,2019-09-11 17:28:50.360000000
33558,32,298,13,1,2019-09-11 17:28:50.360000000
33558,32,299,13,1,2019-09-11 17:28:50.360000000
33558,32,300,13,1,2019-09-11 17:28:50.360000000
33558,32,301,13,1,2019-09-11 17:28:50.360000000
33558,32,302,13,1,2019-09-11 17:28:50.360000000
33558,32,303,13,1,2019-09-11 17:28:50.360000000
33558,32,304,13,1,2019-09-11 17:28:50.360000000
33558,32,305,13,1,2019-09-11 17:28:50.360000000
33558,32,306,13,1,2019-09-11 17:28:50.360000000
33558,32,307,13,1,2019-09-11 17:28:50.360000000
33558,32,309,13,1,2019-09-11 17:28:50.360000000
33558,32,310,13,1,2019-09-11 17:28:50.360000000
33558,32,311,13,1,2019-09-11 17:28:50.360000000
33558,32,312,13,1,2019-09-11 17:28:50.360000000
33558,32,313,13,1,2019-09-11 17:28:50.360000000
33559,21,269,8,1,2019-09-17 16:50:14.740000000
33559,21,270,8,1,2019-09-17 16:50:14.740000000
33559,21,271,8,1,2019-09-17 16:50:14.740000000
33559,21,273,9,1,2019-09-17 16:50:14.740000000
33559,21,274,9,1,2019-09-17 16:50:14.740000000
33559,21,275,9,1,2019-09-17 16:50:14.740000000
33559,21,297,13,1,2019-09-17 16:50:14.740000000
33559,21,298,13,1,2019-09-17 16:50:14.740000000
33559,21,299,13,1,2019-09-17 16:50:14.740000000
33559,21,300,13,1,2019-09-17 16:50:14.740000000
33559,21,301,13,1,2019-09-17 16:50:14.740000000
33559,21,302,13,1,2019-09-17 16:50:14.740000000
33559,21,303,13,1,2019-09-17 16:50:14.740000000
33559,21,304,13,1,2019-09-17 16:50:14.740000000
33559,21,305,13,1,2019-09-17 16:50:14.740000000
33559,21,306,13,1,2019-09-17 16:50:14.740000000
33559,21,307,13,1,2019-09-17 16:50:14.740000000
33559,21,309,13,1,2019-09-17 16:50:14.740000000
33559,21,310,13,1,2019-09-17 16:50:14.740000000
33559,21,311,13,1,2019-09-17 16:50:14.740000000
33559,21,312,13,1,2019-09-17 16:50:14.740000000
33559,21,313,13,1,2019-09-17 16:50:14.740000000
33560,31,269,8,1,2019-09-17 16:51:16.890000000
33560,31,270,8,1,2019-09-17 16:51:16.890000000
33560,31,271,8,1,2019-09-17 16:51:16.890000000
33560,31,273,9,1,2019-09-17 16:51:16.890000000
33560,31,274,9,1,2019-09-17 16:51:16.890000000
33560,31,275,9,1,2019-09-17 16:51:16.890000000
33560,31,297,13,1,2019-09-17 16:51:16.890000000
33560,31,298,13,1,2019-09-17 16:51:16.890000000
33560,31,299,13,1,2019-09-17 16:51:16.890000000
33560,31,300,13,1,2019-09-17 16:51:16.890000000
33560,31,301,13,1,2019-09-17 16:51:16.890000000
33560,31,302,13,1,2019-09-17 16:51:16.890000000
33560,31,303,13,1,2019-09-17 16:51:16.890000000
33560,31,304,13,1,2019-09-17 16:51:16.890000000
33560,31,305,13,1,2019-09-17 16:51:16.890000000
33560,31,306,13,1,2019-09-17 16:51:16.890000000
33560,31,307,13,1,2019-09-17 16:51:16.890000000
33560,31,309,13,1,2019-09-17 16:51:16.890000000
33560,31,310,13,1,2019-09-17 16:51:16.890000000
33560,31,311,13,1,2019-09-17 16:51:16.890000000
